path    axes  conc   strain      dEbar      dPolyV  
1          0  0.50     U         0.0000     0.0000
1          1  0.50     LM       -0.0355     0.5846
1          1  0.50     LT       -0.0754     1.0533

1          0  0.50     U         0.0000     0.0000
1          2  0.50     LM        0.0373     0.5425
1          2  0.50     LT        0.0583     1.0470

1          0  0.50     U         0.0000     0.0000
1          3  0.50     LM       -0.0091     0.5631
1          3  0.50     LT       -0.0379     1.0972

2          0  0.50     U         0.0000     0.0000
2          1  0.50     LM       -0.0184     0.5451
2          1  0.50     LT        0.0182     0.9676

2          0  0.50     U         0.0000     0.0000
2          2  0.50     LM       -0.0137     0.5600
2          2  0.50     LT       -0.0446     1.0934

2          0  0.50     U         0.0000     0.0000
2          3  0.50     LM       -0.0135     0.5619
2          3  0.50     LT       -0.0440     1.0906

3          0  0.50     U         0.0000     0.0000
3          1  0.50     LM        0.0127     0.4135
3          1  0.50     LT        0.0744     0.7957

3          0  0.50     U         0.0000     0.0000
3          2  0.50     LM       -0.0019     0.4310
3          2  0.50     LT        0.0059     0.8558

3          0  0.50     U         0.0000     0.0000
3          3  0.50     LM        0.0296     0.3984
3          3  0.50     LT        0.0742     0.7956

1R         0  0.50     U         0.0000     0.0000
1R         1  0.50     LM        0.0353     0.5846
1R         1  0.50     LT        0.0583     1.0533

1R         0  0.50     U         0.0000     0.0000
1R         2  0.50     LM       -0.0361     0.5425
1R         2  0.50     LT       -0.0754     1.0470

1R         0  0.50     U         0.0000     0.0000
1R         3  0.50     LM       -0.0091     0.5631
1R         3  0.50     LT       -0.0379     1.0972

2R         0  0.50     U         0.0000     0.0000
2R         1  0.50     LM        0.0184     0.5451
2R         1  0.50     LT        0.0183     0.9676

2R         0  0.50     U         0.0000     0.0000
2R         2  0.50     LM       -0.0137     0.5600
2R         2  0.50     LT       -0.0445     1.0934

2R         0  0.50     U         0.0000     0.0000
2R         3  0.50     LM       -0.0135     0.5619
2R         3  0.50     LT       -0.0439     1.0906

3R         0  0.50     U         0.0000     0.0000
3R         1  0.50     LM       -0.1167     0.4135
3R         1  0.50     LT       -0.1813     0.7957

3R         0  0.50     U         0.0000     0.0000
3R         2  0.50     LM       -0.1171     0.4310
3R         2  0.50     LT       -0.1640     0.8558

3R         0  0.50     U         0.0000     0.0000
3R         3  0.50     LM       -0.1162     0.3984
3R         3  0.50     LT       -0.1816     0.7956

