path    axes  conc   strain   image      delta_E     pot         d_pot 
1       1     0.25     LM      0         0.0000   -20.6109     0.0000
1       1     0.25     LM      1         0.0703   -20.6880     0.0771
1       1     0.25     LM      2         0.2394   -20.8249     0.2140
1       1     0.25     LM      3         0.3680   -20.9889     0.3780
1       1     0.25     LM      4         0.4067   -21.1599     0.5490
1       1     0.25     LM      5         0.4399   -21.2516     0.6407
1       1     0.25     LM      6         0.4305   -21.1572     0.5463
1       1     0.25     LM      7         0.3592   -21.0010     0.3901
1       1     0.25     LM      8         0.2553   -20.8434     0.2325
1       1     0.25     LM      9         0.1098   -20.7184     0.1075
1       1     0.25     LM     10         0.0232   -20.6546     0.0437
    
1       2     0.25     LM      0         0.0000   -20.6721     0.0000
1       2     0.25     LM      1         0.0745   -20.7330     0.0609
1       2     0.25     LM      2         0.2324   -20.8596     0.1875
1       2     0.25     LM      3         0.3356   -21.0164     0.3443
1       2     0.25     LM      4         0.4069   -21.1729     0.5008
1       2     0.25     LM      5         0.4164   -21.2689     0.5968
1       2     0.25     LM      6         0.3835   -21.1761     0.5040
1       2     0.25     LM      7         0.3448   -21.0053     0.3332
1       2     0.25     LM      8         0.2170   -20.8431     0.1710
1       2     0.25     LM      9         0.0816   -20.6987     0.0266
1       2     0.25     LM     10        -0.0478   -20.6299    -0.0422
    
1       3     0.25     LM      0         0.0000   -20.6272     0.0000
1       3     0.25     LM      1         0.0977   -20.7001     0.0729
1       3     0.25     LM      2         0.2615   -20.8349     0.2077
1       3     0.25     LM      3         0.3842   -21.0008     0.3736
1       3     0.25     LM      4         0.4224   -21.1721     0.5449
1       3     0.25     LM      5         0.4492   -21.2595     0.6323
1       3     0.25     LM      6         0.4224   -21.1719     0.5447
1       3     0.25     LM      7         0.3841   -21.0010     0.3738
1       3     0.25     LM      8         0.2613   -20.8342     0.2070
1       3     0.25     LM      9         0.0976   -20.7001     0.0729
1       3     0.25     LM     10        -0.0000   -20.6273     0.0001
    
2       1     0.25     LM      0         0.0000   -20.6556     0.0000
2       1     0.25     LM      1         0.1003   -20.7305     0.0749
2       1     0.25     LM      2         0.2813   -20.8593     0.2037
2       1     0.25     LM      3         0.3553   -21.0074     0.3518
2       1     0.25     LM      4         0.4150   -21.1658     0.5102
2       1     0.25     LM      5         0.4457   -21.2511     0.5955
2       1     0.25     LM      6         0.4151   -21.1660     0.5104
2       1     0.25     LM      7         0.3554   -21.0076     0.3520
2       1     0.25     LM      8         0.2814   -20.8601     0.2045
2       1     0.25     LM      9         0.1004   -20.7306     0.0750
2       1     0.25     LM     10        -0.0000   -20.6562     0.0006
    
2       2     0.25     LM      0         0.0000   -20.6270     0.0000
2       2     0.25     LM      1         0.0997   -20.7064     0.0794
2       2     0.25     LM      2         0.2602   -20.8339     0.2069
2       2     0.25     LM      3         0.3618   -20.9979     0.3709
2       2     0.25     LM      4         0.4350   -21.1628     0.5358
2       2     0.25     LM      5         0.4505   -21.2554     0.6284
2       2     0.25     LM      6         0.4351   -21.1713     0.5443
2       2     0.25     LM      7         0.3618   -20.9979     0.3709
2       2     0.25     LM      8         0.2603   -20.8339     0.2069
2       2     0.25     LM      9         0.0998   -20.7025     0.0755
2       2     0.25     LM     10         0.0000   -20.6267    -0.0003
    
2       3     0.25     LM      0         0.0000   -20.6328     0.0000
2       3     0.25     LM      1         0.0987   -20.7149     0.0821
2       3     0.25     LM      2         0.2593   -20.8382     0.2054
2       3     0.25     LM      3         0.3612   -21.0029     0.3701
2       3     0.25     LM      4         0.4347   -21.1776     0.5448
2       3     0.25     LM      5         0.4503   -21.2618     0.6290
2       3     0.25     LM      6         0.4347   -21.1775     0.5447
2       3     0.25     LM      7         0.3612   -21.0027     0.3699
2       3     0.25     LM      8         0.2592   -20.8383     0.2055
2       3     0.25     LM      9         0.0986   -20.7001     0.0673
2       3     0.25     LM     10        -0.0000   -20.6335     0.0007
    
3       1     0.25     LM      0         0.0000   -20.9017     0.0000
3       1     0.25     LM      1         0.0743   -20.9639     0.0622
3       1     0.25     LM      2         0.2246   -21.0873     0.1856
3       1     0.25     LM      3         0.3004   -21.2258     0.3241
3       1     0.25     LM      4         0.3270   -21.2538     0.3521
3       1     0.25     LM      5         0.3077   -21.1204     0.2187
3       1     0.25     LM      6         0.2581   -20.9129     0.0112
3       1     0.25     LM      7         0.1861   -20.7298    -0.1719
3       1     0.25     LM      8         0.0707   -20.5626    -0.3391
3       1     0.25     LM      9        -0.0995   -20.4176    -0.4841
3       1     0.25     LM     10        -0.1678   -20.3632    -0.5385
    
3R      1     0.25     LM      0         0.0000   -20.3632     0.0000
3R      1     0.25     LM      1         0.0683   -20.4176     0.0544
3R      1     0.25     LM      2         0.2385   -20.5626     0.1994
3R      1     0.25     LM      3         0.3539   -20.7298     0.3666
3R      1     0.25     LM      4         0.4258   -20.9129     0.5497
3R      1     0.25     LM      5         0.4755   -21.1204     0.7572
3R      1     0.25     LM      6         0.4948   -21.2538     0.8906
3R      1     0.25     LM      7         0.4682   -21.2258     0.8626
3R      1     0.25     LM      8         0.3924   -21.0873     0.7241
3R      1     0.25     LM      9         0.2421   -20.9639     0.6007
3R      1     0.25     LM     10         0.1678   -20.9017     0.5385
    
3       2     0.25     LM      0         0.0000   -20.8567     0.0000
3       2     0.25     LM      1         0.1043   -20.9128     0.0561
3       2     0.25     LM      2         0.2458   -21.0066     0.1499
3       2     0.25     LM      3         0.3139   -21.1415     0.2848
3       2     0.25     LM      4         0.3601   -21.2530     0.3963
3       2     0.25     LM      5         0.3788   -21.2382     0.3815
3       2     0.25     LM      6         0.3522   -21.0460     0.1893
3       2     0.25     LM      7         0.2925   -20.8258    -0.0309
3       2     0.25     LM      8         0.2024   -20.6288    -0.2279
3       2     0.25     LM      9         0.0022   -20.4644    -0.3923
3       2     0.25     LM     10        -0.0739   -20.3731    -0.4836
    
3R      2     0.25     LM      0         0.0000   -20.3731     0.0000
3R      2     0.25     LM      1         0.0761   -20.4644     0.0913
3R      2     0.25     LM      2         0.2764   -20.6288     0.2557
3R      2     0.25     LM      3         0.3664   -20.8258     0.4527
3R      2     0.25     LM      4         0.4261   -21.0460     0.6729
3R      2     0.25     LM      5         0.4527   -21.2382     0.8651
3R      2     0.25     LM      6         0.4341   -21.2530     0.8799
3R      2     0.25     LM      7         0.3878   -21.1415     0.7684
3R      2     0.25     LM      8         0.3198   -21.0066     0.6335
3R      2     0.25     LM      9         0.1782   -20.9128     0.5397
3R      2     0.25     LM     10         0.0739   -20.8567     0.4836
    
3       3     0.25     LM      0         0.0000   -20.9033     0.0000
3       3     0.25     LM      1         0.0748   -20.9646     0.0613
3       3     0.25     LM      2         0.2251   -21.0860     0.1827
3       3     0.25     LM      3         0.3007   -21.2388     0.3355
3       3     0.25     LM      4         0.3270   -21.2535     0.3502
3       3     0.25     LM      5         0.3074   -21.1192     0.2159
3       3     0.25     LM      6         0.2685   -20.9134     0.0101
3       3     0.25     LM      7         0.2038   -20.7304    -0.1729
3       3     0.25     LM      8         0.0705   -20.5638    -0.3395
3       3     0.25     LM      9        -0.0992   -20.4173    -0.4860
3       3     0.25     LM     10        -0.1678   -20.3633    -0.5400
    
3R      3     0.25     LM      0         0.0000   -20.3633     0.0000
3R      3     0.25     LM      1         0.0686   -20.4173     0.0540
3R      3     0.25     LM      2         0.2383   -20.5638     0.2005
3R      3     0.25     LM      3         0.3717   -20.7304     0.3671
3R      3     0.25     LM      4         0.4363   -20.9134     0.5501
3R      3     0.25     LM      5         0.4752   -21.1192     0.7559
3R      3     0.25     LM      6         0.4948   -21.2535     0.8902
3R      3     0.25     LM      7         0.4685   -21.2388     0.8755
3R      3     0.25     LM      8         0.3929   -21.0860     0.7227
3R      3     0.25     LM      9         0.2426   -20.9646     0.6013
3R      3     0.25     LM     10         0.1678   -20.9033     0.5400
    
1       1     0.25     LT      0         0.0000   -21.0544     0.0000
1       1     0.25     LT      1         0.0863   -21.1189     0.0645
1       1     0.25     LT      2         0.2330   -21.2226     0.1682
1       1     0.25     LT      3         0.3349   -21.3563     0.3019
1       1     0.25     LT      4         0.4180   -21.5108     0.4564
1       1     0.25     LT      5         0.4650   -21.6042     0.5498
1       1     0.25     LT      6         0.4324   -21.5316     0.4772
1       1     0.25     LT      7         0.3796   -21.4108     0.3564
1       1     0.25     LT      8         0.2657   -21.2948     0.2404
1       1     0.25     LT      9         0.1357   -21.2132     0.1588
1       1     0.25     LT     10         0.0648   -21.1723     0.1179
    
1       2     0.25     LT      0         0.0000   -21.1757     0.0000
1       2     0.25     LT      1         0.0621   -21.2146     0.0389
1       2     0.25     LT      2         0.1935   -21.2938     0.1181
1       2     0.25     LT      3         0.3109   -21.4081     0.2324
1       2     0.25     LT      4         0.3889   -21.5333     0.3576
