path   conc  strain   image     delta_E     pot         d_pot 
1       0.25     U       0         0.0000   -20.2508     0.0000
1       0.25     U       1         0.0933   -20.3254     0.0746
1       0.25     U       2         0.2768   -20.4790     0.2282
1       0.25     U       3         0.3833   -20.6528     0.4020
1       0.25     U       4         0.4306   -20.8164     0.5656
1       0.25     U       5         0.4519   -20.9163     0.6655
1       0.25     U       6         0.4306   -20.8168     0.5660
1       0.25     U       7         0.3837   -20.6639     0.4131
1       0.25     U       8         0.2783   -20.4810     0.2302
1       0.25     U       9         0.0961   -20.3280     0.0772
1       0.25     U      10         0.0000   -20.2513     0.0005
    
2       0.25     U       0         0.0000   -20.2533     0.0000
2       0.25     U       1         0.0600   -20.3124     0.0591
2       0.25     U       2         0.2665   -20.4698     0.2165
2       0.25     U       3         0.3539   -20.6424     0.3891
2       0.25     U       4         0.4044   -20.8063     0.5530
2       0.25     U       5         0.4306   -20.9101     0.6568
2       0.25     U       6         0.4045   -20.8063     0.5530
2       0.25     U       7         0.3540   -20.6428     0.3895
2       0.25     U       8         0.2443   -20.4595     0.2062
2       0.25     U       9         0.0837   -20.3226     0.0693
2       0.25     U      10        -0.0001   -20.2497    -0.0036
    
3       0.25     U       0         0.0000   -20.5216     0.0000
3       0.25     U       1         0.0924   -20.5842     0.0626
3       0.25     U       2         0.2534   -20.7105     0.1889
3       0.25     U       3         0.3390   -20.8468     0.3252
3       0.25     U       4         0.3721   -20.9467     0.4251
3       0.25     U       5         0.3820   -20.8846     0.3630
3       0.25     U       6         0.3575   -20.6835     0.1619
3       0.25     U       7         0.3069   -20.4703    -0.0513
3       0.25     U       8         0.1887   -20.2696    -0.2520
3       0.25     U       9        -0.0051   -20.0916    -0.4300
3       0.25     U      10        -0.0779   -20.0188    -0.5028
    
3R      0.25     U       0         0.0000   -20.0188     0.0000
3R      0.25     U       1         0.0728   -20.0916     0.0728
3R      0.25     U       2         0.2666   -20.2696     0.2508
3R      0.25     U       3         0.3848   -20.4703     0.4515
3R      0.25     U       4         0.4354   -20.6835     0.6647
3R      0.25     U       5         0.4599   -20.8846     0.8658
3R      0.25     U       6         0.4500   -20.9467     0.9279
3R      0.25     U       7         0.4170   -20.8468     0.8280
3R      0.25     U       8         0.3313   -20.7105     0.6917
3R      0.25     U       9         0.1704   -20.5842     0.5654
3R      0.25     U      10         0.0779   -20.5216     0.5028
    
1       0.25     LM      0         0.0000   -21.1603     0.0000
1       0.25     LM      1         0.0566   -21.2400     0.0797
1       0.25     LM      2         0.1983   -21.3452     0.1849
1       0.25     LM      3         0.3042   -21.5088     0.3485
1       0.25     LM      4         0.3911   -21.6881     0.5278
1       0.25     LM      5         0.4072   -21.7760     0.6157
1       0.25     LM      6         0.3754   -21.6840     0.5237
1       0.25     LM      7         0.3044   -21.5056     0.3453
1       0.25     LM      8         0.1986   -21.3450     0.1847
1       0.25     LM      9         0.0568   -21.2400     0.0797
1       0.25     LM     10        -0.0001   -21.1760     0.0157
    
2       0.25     LM      0         0.0000   -21.1802     0.0000
2       0.25     LM      1         0.0750   -21.2336     0.0534
2       0.25     LM      2         0.2117   -21.3376     0.1574
2       0.25     LM      3         0.2910   -21.4928     0.3126
2       0.25     LM      4         0.3642   -21.6644     0.4842
2       0.25     LM      5         0.3992   -21.7704     0.5902
2       0.25     LM      6         0.3642   -21.6686     0.4884
2       0.25     LM      7         0.2910   -21.4977     0.3175
2       0.25     LM      8         0.2064   -21.3369     0.1567
2       0.25     LM      9         0.0751   -21.2305     0.0503
2       0.25     LM     10        -0.0108   -21.1756    -0.0046
    
3       0.25     LM      0         0.0000   -21.4839     0.0000
3       0.25     LM      1         0.1095   -21.5186     0.0347
3       0.25     LM      2         0.2049   -21.6176     0.1337
3       0.25     LM      3         0.2885   -21.7653     0.2814
3       0.25     LM      4         0.3526   -21.8154     0.3315
3       0.25     LM      5         0.2931   -21.6897     0.2058
3       0.25     LM      6         0.2263   -21.4666    -0.0173
3       0.25     LM      7         0.1386   -21.2600    -0.2239
3       0.25     LM      8         0.0144   -21.0936    -0.3903
3       0.25     LM      9        -0.1362   -20.9723    -0.5116
3       0.25     LM     10        -0.1905   -20.9225    -0.5614
    
3R      0.25     LM      0         0.0000   -20.9225     0.0000
3R      0.25     LM      1         0.0543   -20.9723     0.0498
3R      0.25     LM      2         0.2050   -21.0936     0.1711
3R      0.25     LM      3         0.3292   -21.2600     0.3375
3R      0.25     LM      4         0.4168   -21.4666     0.5441
3R      0.25     LM      5         0.4836   -21.6897     0.7672
3R      0.25     LM      6         0.5431   -21.8154     0.8929
3R      0.25     LM      7         0.4791   -21.7653     0.8428
3R      0.25     LM      8         0.3954   -21.6176     0.6951
3R      0.25     LM      9         0.3000   -21.5186     0.5961
3R      0.25     LM     10         0.1905   -21.4839     0.5614
    
1       0.25     LT      0         0.0000   -22.5131     0.0000
1       0.25     LT      1         0.0393   -22.5289     0.0158
1       0.25     LT      2         0.1110   -22.5844     0.0713
1       0.25     LT      3         0.2159   -22.7314     0.2183
1       0.25     LT      4         0.3072   -22.9141     0.4010
1       0.25     LT      5         0.3460   -22.9948     0.4817
1       0.25     LT      6         0.3072   -22.9158     0.4027
1       0.25     LT      7         0.2329   -22.7369     0.2238
1       0.25     LT      8         0.1112   -22.5851     0.0720
1       0.25     LT      9         0.0164   -22.5302     0.0171
1       0.25     LT     10        -0.0000   -22.5130    -0.0001
    
2       0.25     LT      0         0.0000   -22.5175     0.0000
2       0.25     LT      1         0.0705   -22.5306     0.0131
2       0.25     LT      2         0.1376   -22.5811     0.0636
2       0.25     LT      3         0.2390   -22.7324     0.2149
2       0.25     LT      4         0.3629   -22.9111     0.3936
2       0.25     LT      5         0.3693   -22.9982     0.4807
2       0.25     LT      6         0.3630   -22.9127     0.3952
2       0.25     LT      7         0.2395   -22.7326     0.2151
2       0.25     LT      8         0.1382   -22.5809     0.0634
2       0.25     LT      9         0.0668   -22.5138    -0.0037
2       0.25     LT     10         0.0282   -22.5230     0.0055
    
3       0.25     LT      0         0.0000   -22.8591     0.0000
3       0.25     LT      1         0.0201   -22.8426    -0.0165
3       0.25     LT      2         0.0732   -22.8863     0.0272
3       0.25     LT      3         0.1460   -23.0050     0.1459
3       0.25     LT      4         0.1778   -23.0647     0.2056
3       0.25     LT      5         0.1386   -22.9572     0.0981
3       0.25     LT      6         0.0357   -22.6932    -0.1659
3       0.25     LT      7        -0.0872   -22.4798    -0.3793
3       0.25     LT      8        -0.2072   -22.3295    -0.5296
3       0.25     LT      9        -0.3018   -22.2545    -0.6046
3       0.25     LT     10        -0.3366   -22.2243    -0.6348
    
3R      0.25     LT      0         0.0000   -22.2243     0.0000
3R      0.25     LT      1         0.0348   -22.2545     0.0302
3R      0.25     LT      2         0.1293   -22.3295     0.1052
3R      0.25     LT      3         0.2493   -22.4798     0.2555
3R      0.25     LT      4         0.3723   -22.6932     0.4689
3R      0.25     LT      5         0.4751   -22.9572     0.7329
3R      0.25     LT      6         0.5144   -23.0647     0.8404
3R      0.25     LT      7         0.4825   -23.0050     0.7807
3R      0.25     LT      8         0.4098   -22.8863     0.6620
3R      0.25     LT      9         0.3566   -22.8426     0.6183
3R      0.25     LT     10         0.3366   -22.8591     0.6348
    
1       0.50     U       0         0.0000   -20.0724     0.0000
1       0.50     U       1         0.0989   -20.1535     0.0811
1       0.50     U       2         0.2899   -20.3034     0.2310
1       0.50     U       3         0.3782   -20.4668     0.3944
1       0.50     U       4         0.4115   -20.6110     0.5386
1       0.50     U       5         0.4236   -20.6763     0.6039
1       0.50     U       6         0.4115   -20.6110     0.5386
1       0.50     U       7         0.3782   -20.4667     0.3943
1       0.50     U       8         0.2899   -20.3034     0.2310
1       0.50     U       9         0.0989   -20.1535     0.0811
1       0.50     U      10         0.0000   -20.0719    -0.0005
    
2       0.50     U       0         0.0000   -20.0817     0.0000
2       0.50     U       1         0.1049   -20.1727     0.0910
2       0.50     U       2         0.2877   -20.3083     0.2266
2       0.50     U       3         0.3907   -20.4657     0.3840
2       0.50     U       4         0.4356   -20.6273     0.5456
2       0.50     U       5         0.4524   -20.7208     0.6391
2       0.50     U       6         0.4357   -20.6279     0.5462
2       0.50     U       7         0.3894   -20.4652     0.3835
2       0.50     U       8         0.2883   -20.3101     0.2284
2       0.50     U       9         0.1054   -20.1682     0.0865
2       0.50     U      10         0.0000   -20.0861     0.0044
    
3       0.50     U       0         0.0000   -19.8969     0.0000
3       0.50     U       1         0.0965   -20.0259     0.1290
3       0.50     U       2         0.2347   -20.2152     0.3183
3       0.50     U       3         0.2749   -20.3990     0.5021
3       0.50     U       4         0.2548   -20.5986     0.7017
3       0.50     U       5         0.2214   -20.6944     0.7975
3       0.50     U       6         0.1918   -20.6973     0.8004
3       0.50     U       7         0.1509   -20.6065     0.7096
3       0.50     U       8         0.0546   -20.4907     0.5938
3       0.50     U       9        -0.1078   -20.3749     0.4780
3       0.50     U      10        -0.2078   -20.3205     0.4236
    
3R      0.50     U       0         0.0000   -20.3205     0.0000
3R      0.50     U       1         0.1000   -20.3749     0.0544
3R      0.50     U       2         0.2625   -20.4907     0.1702
3R      0.50     U       3         0.3587   -20.6065     0.2860
3R      0.50     U       4         0.3996   -20.6973     0.3768
3R      0.50     U       5         0.4292   -20.6944     0.3739
3R      0.50     U       6         0.4626   -20.5986     0.2781
3R      0.50     U       7         0.4827   -20.3990     0.0785
3R      0.50     U       8         0.4425   -20.2152    -0.1053
3R      0.50     U       9         0.3044   -20.0259    -0.2946
3R      0.50     U      10         0.2078   -19.8969    -0.4236
    
1       0.50     LM      0         0.0000   -21.3509     0.0000
1       0.50     LM      1         0.0804   -21.4035     0.0526
1       0.50     LM      2         0.2179   -21.4992     0.1483
1       0.50     LM      3         0.3131   -21.6475     0.2966
1       0.50     LM      4         0.3799   -21.8067     0.4558
1       0.50     LM      5         0.4048   -21.8683     0.5174
1       0.50     LM      6         0.3799   -21.8071     0.4562
1       0.50     LM      7         0.3130   -21.6472     0.2963
1       0.50     LM      8         0.2178   -21.4990     0.1481
1       0.50     LM      9         0.0803   -21.4034     0.0525
1       0.50     LM     10        -0.0000   -21.3521     0.0012
    
2       0.50     LM      0         0.0000   -21.3571     0.0000
2       0.50     LM      1         0.0791   -21.4041     0.0470
