path    conc  strain   dEbar       dPolyV   
1       0.25  U          0.0000     0.0000
1       0.25  LM        -0.0447     1.0058
1       0.25  LT        -0.1059     2.5676

2       0.25  U          0.0000     0.0000
2       0.25  LM        -0.0314     0.9959
2       0.25  LT        -0.0613     2.5384

3       0.25  U          0.0000     0.0000
3       0.25  LM        -0.0294     0.9796
3       0.25  LT        -0.2042     2.5691

1R      0.25  U          0.0000     0.0000
1R      0.25  LM        -0.0446     1.0058
1R      0.25  LT        -0.1058     2.5676

2R      0.25  U          0.0000     0.0000
2R      0.25  LM        -0.0207     0.9959
2R      0.25  LT        -0.0897     2.5384

3R      0.25  U          0.0000     0.0000
3R      0.25  LM         0.0832     0.9796
3R      0.25  LT         0.0545     2.5691

1       0.50  U          0.0000     0.0000
1       0.50  LM        -0.0189     1.3608
1       0.50  LT        -0.0868     2.9159

2       0.50  U          0.0000     0.0000
2       0.50  LM        -0.0153     1.3404
2       0.50  LT        -0.0667     2.8360

3       0.50  U          0.0000     0.0000
3       0.50  LM         0.0453     1.1379
3       0.50  LT         0.1295     2.7542

1R      0.50  U          0.0000     0.0000
1R      0.50  LM        -0.0188     1.3608
1R      0.50  LT        -0.0944     2.9159

2R      0.50  U          0.0000     0.0000
2R      0.50  LM        -0.0153     1.3404
2R      0.50  LT        -0.0666     2.8360

3R      0.50  U          0.0000     0.0000
3R      0.50  LM        -0.1797     1.1379
3R      0.50  LT        -0.3232     2.7542

